season,dic-mar,dic-mar,dic-mar,dic-mar,jun-sep,jun-sep,jun-sep,mar-jun,mar-jun,mar-jun,mar-jun,sep-dic,sep-dic,sep-dic,sep-dic,total_anomalies
variable,precipitation_sum,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,precipitation_sum,temperature_2m_max,wind_speed_10m_max,precipitation_sum,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,precipitation_sum,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,
city_name,,,,,,,,,,,,,,,,
Brazzaville,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,11.0
Bridgetown,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,11.0
Bruxelles-Brussel,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0
Bucuresti (Bucharest),1.0,10.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0
Budapest,1.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,16.0
Buenos Aires,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0
Bujumbura,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,13.0
Canberra,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0
Cape Town,1.0,0.0,0.0,1.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0
Caracas,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0
Castries,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0
Cayenne,6.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,26.0
Charlotte Amalie,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
Chişinău,0.0,11.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,18.0
Ciudad de Guatemala (Guatemala City),0.0,0.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,21.0
Ciudad de México (Mexico City),0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Ciudad de Panamá (Panama City),0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,24.0
Cockburn Town,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0
Colombo,3.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,15.0
Conakry,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,23.0
Cotonou,6.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,27.0
Dakar,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Delhi,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Dhaka,1.0,0.0,0.0,0.0,8.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,21.0
Dili,8.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,15.0
Dimashq (Damascus),2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
Dodoma,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0
Douglas,2.0,0.0,0.0,7.0,1.0,0.0,3.0,3.0,1.0,0.0,6.0,3.0,0.0,0.0,11.0,37.0
Dublin,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0
Dushanbe,3.0,5.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0
El Aaiún,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
